Genus,Species_Epithet,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,Growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,growthURL,tip,an.pe
Lepidium,campestre,2.313,258.1245233,9.276766521,13.62801053,4.925523509,0.938242748,11771.84595,3.638158244,68.68098462,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Lepidium,densiflorum,0.8,238.8449304,7.256973709,12.1195103,2.394445337,0.822446983,11776.32817,3.511933684,57.88159929,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Lepidium,draba,1.8,287.7185167,10.47867999,14.86253813,6.094776776,0.98314231,12182.09213,3.752323129,60.5288286,SI,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=13592&Num=bnv,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/5376961,NA,NA
Lepidium,fremontii,0.374,323.8921162,16.11430435,24.03888041,8.189685874,0.640420082,19067.80221,3.740208165,16.58679115,SI,shrub,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Lepidium,latifolium,0.1,268.9026332,10.17022796,15.07813747,5.262266728,0.923946762,13146.13824,3.646212388,53.00734844,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Lepidium,montanum,0.5,315.4690554,10.58343327,18.82205264,2.344859328,0.588475186,17846.14794,3.406997897,26.49945711,SI,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=13601&Num=un0,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/5376844,NA,NA
Lepidium,perfoliatum,0.9,285.7682263,9.560632865,15.25578412,3.865507216,0.80336748,13767.92301,3.470742269,46.96236852,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Lepidium,pseudohyssopifolium,0.27,736.3051471,16.9881868,23.26695,10.70941861,1.118075061,17803.36749,3.177923931,48.49050245,SC,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=39085&Num=6hO,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/5377074,NA,NA
Lepidium,ruderale,0.2894,230.3949411,8.425828786,12.32635344,4.525249039,0.921006727,10563.8559,3.737412268,62.03698381,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Lepidium,spinosum,1.45,318.8461538,16.62739426,21.02466167,12.23028289,1.241199987,16615.09829,3.670651305,45.89957265,SC,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=13621&Num=3Fk,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/5376762,NA,NA
